"expIndex","subject","scenario","round","pset_selected","target","weak_math","strong_math","agent_selected"
"exp3",6,6,1,8,12.5,3,9,2
"exp3",6,6,2,2,12.5,3.66,9,1
"exp3",6,6,3,2,12.5,4.2,9,1
"exp3",6,7,0,NA,13.5,3,9,NA
"exp3",6,7,1,2,13.5,3.66,9,1
"exp3",6,7,2,2,13.5,4.2,9,1
"exp3",6,7,3,4,13.5,5.15,9,1
"exp3",6,8,0,NA,15,5,8,NA
"exp3",6,8,1,4,15,5.8,8,1
"exp3",6,8,2,4,15,6.48,8,1
"exp3",6,8,3,6,15,7.4,8,1
"exp3",7,1,0,NA,11,2,8,NA
"exp3",7,1,1,8,11,2,9,2
"exp3",7,1,2,0,11,2,9,0
"exp3",7,1,3,0,11,2,9,0
"exp3",7,2,0,NA,12,3,8,NA
"exp3",7,2,1,2,12,3.66,8,1
"exp3",7,2,2,2,12,4.2,8,1
"exp3",7,2,3,0,12,4.2,8,0
"exp3",7,3,0,NA,13,3,9,NA
"exp3",7,3,1,8,13,3,9.88,2
"exp3",7,3,2,2,13,3,10.08,2
"exp3",7,3,3,0,13,3,10.08,0
"exp3",7,4,0,NA,13.5,5,8,NA
"exp3",7,4,1,4,13.5,5.8,8,1
"exp3",7,4,2,0,13.5,5.8,8,0
"exp3",7,4,3,0,13.5,5.8,8,0
"exp3",7,5,0,NA,12,2,8,NA
"exp3",7,5,1,2,12,3,8,1
"exp3",7,5,2,2,12,3.66,8,1
"exp3",7,5,3,2,12,4.2,8,1
"exp3",7,6,0,NA,12.5,3,8,NA
"exp3",7,6,1,2,12.5,3.66,8,1
"exp3",7,6,2,2,12.5,4.2,8,1
"exp3",7,6,3,4,12.5,5.15,8,1
"exp3",7,7,0,NA,13.5,3,9,NA
"exp3",7,7,1,2,13.5,3.66,9,1
"exp3",7,7,2,2,13.5,4.2,9,1
"exp3",7,7,3,4,13.5,5.15,9,1
"exp3",7,8,0,NA,15,5,8,NA
"exp3",7,8,1,8,15,5,9,2
"exp3",7,8,2,4,15,5.8,9,1
"exp3",7,8,3,6,15,5.8,9,1
"exp3",8,1,0,NA,11,2,8,NA
"exp3",8,1,1,2,11,3,8,1
"exp3",8,1,2,0,11,3,8,0
"exp3",8,1,3,0,11,3,8,0
"exp3",8,2,0,NA,12,3,8,NA
"exp3",8,2,1,2,12,3.66,8,1
"exp3",8,2,2,2,12,4.2,8,1
"exp3",8,2,3,0,12,4.2,8,0
"exp3",8,3,0,NA,13,3,9,NA
"exp3",8,3,1,4,13,3,9.44,2
"exp3",8,3,2,4,13,3,9.86,2
"exp3",8,3,3,4,13,3,10.26,2
"exp3",8,4,0,NA,13.5,5,8,NA
"exp3",8,4,1,4,13.5,5.8,8,1
"exp3",8,4,2,0,13.5,5.8,8,0
"exp3",8,4,3,0,13.5,5.8,8,0
"exp3",8,5,0,NA,12,2,8,NA
"exp3",8,5,1,2,12,3,8,1
"exp3",8,5,2,8,12,3,9,2
"exp3",8,5,3,0,12,3,9,0
"exp3",8,6,0,NA,12.5,3,8,NA
"exp3",8,6,1,2,12.5,3.66,8,1
"exp3",8,6,2,6,12.5,3.66,8.75,2
"exp3",8,6,3,2,12.5,4.2,8.75,1
"exp3",8,7,0,NA,13.5,3,9,NA
"exp3",8,7,1,2,13.5,3.66,9,1
"exp3",8,7,2,2,13.5,4.2,9,1
"exp3",8,7,3,4,13.5,5.15,9,1
"exp3",8,8,0,NA,15,5,8,NA
"exp3",8,8,1,8,15,5,9,2
"exp3",8,8,2,2,15,5.4,9,1
"exp3",8,8,3,4,15,6.14,9,1
"exp3",9,1,0,NA,11,2,8,NA
"exp3",9,1,1,2,11,3,8,1
"exp3",9,1,2,0,11,3,8,0
"exp3",9,1,3,0,11,3,8,0
"exp3",9,2,0,NA,12,3,8,NA
"exp3",9,2,1,2,12,3.66,8,1
"exp3",9,2,2,2,12,4.2,8,1
"exp3",9,2,3,0,12,4.2,8,0
"exp3",9,3,0,NA,13,3,9,NA
"exp3",9,3,1,2,13,3.66,9,1
"exp3",9,3,2,2,13,4.2,9,1
"exp3",9,3,3,0,13,4.2,9,0
"exp3",9,4,0,NA,13.5,5,8,NA
"exp3",9,4,1,4,13.5,5,8.5,2
"exp3",9,4,2,0,13.5,5,8.5,0
"exp3",9,4,3,0,13.5,5,8.5,0
"exp3",9,5,0,NA,12,2,8,NA
"exp3",9,5,1,2,12,3,8,1
"exp3",9,5,2,8,12,3,9,2
"exp3",9,5,3,8,12,3,9.88,2
"exp3",9,6,0,NA,12.5,3,8,NA
"exp3",9,6,1,2,12.5,3,8.25,2
"exp3",9,6,2,2,12.5,3.66,8.25,1
"exp3",9,6,3,8,12.5,3.66,9.21,2
"exp3",9,7,0,NA,13.5,3,9,NA
"exp3",9,7,1,2,13.5,3.66,9,1
"exp3",9,7,2,2,13.5,4.2,9,1
"exp3",9,7,3,4,13.5,5.15,9,1
"exp3",9,8,0,NA,15,5,8,NA
"exp3",9,8,1,4,15,5.8,8,1
"exp3",9,8,2,4,15,6.48,8,1
"exp3",9,8,3,6,15,7.4,8,1
"exp3",10,1,0,NA,11,2,8,NA
"exp3",10,1,1,2,11,3,8,1
"exp3",10,1,2,0,11,3,8,0
"exp3",10,1,3,0,11,3,8,0
"exp3",10,2,0,NA,12,3,8,NA
"exp3",10,2,1,2,12,3.66,8,1
"exp3",10,2,2,4,12,3.66,8.5,2
"exp3",10,2,3,0,12,3.66,8.5,0
"exp3",10,3,0,NA,13,3,9,NA
"exp3",10,3,1,2,13,3.66,9,1
"exp3",10,3,2,2,13,4.2,9,1
"exp3",10,3,3,0,13,4.2,9,0
"exp3",10,4,0,NA,13.5,5,8,NA
"exp3",10,4,1,4,13.5,5,8.5,2
"exp3",10,4,2,0,13.5,5,8.5,0
"exp3",10,4,3,0,13.5,5,8.5,0
"exp3",10,5,0,NA,12,2,8,NA
"exp3",10,5,1,8,12,2,9,2
"exp3",10,5,2,2,12,3,9,1
"exp3",10,5,3,0,12,3,9,0
"exp3",10,6,0,NA,12.5,3,8,NA
"exp3",10,6,1,8,12.5,3,9,2
"exp3",10,6,2,2,12.5,3.66,9,1
"exp3",10,6,3,0,12.5,3.66,9,0
"exp3",10,7,0,NA,13.5,3,9,NA
"exp3",10,7,1,2,13.5,3.66,9,1
"exp3",10,7,2,2,13.5,4.2,9,1
"exp3",10,7,3,2,13.5,4.67,9,1
"exp3",10,8,0,NA,15,5,8,NA
"exp3",10,8,1,4,15,5.8,8,1
"exp3",10,8,2,4,15,6.48,8,1
"exp3",10,8,3,4,15,7.09,8,1
"exp3",11,1,0,NA,11,2,8,NA
"exp3",11,1,1,2,11,3,8,1
"exp3",11,1,2,0,11,3,8,0
"exp3",11,1,3,0,11,3,8,0
"exp3",11,2,0,NA,12,3,8,NA
"exp3",11,2,1,2,12,3.66,8,1
"exp3",11,2,2,2,12,4.2,8,1
"exp3",11,2,3,0,12,4.2,8,0
"exp3",11,3,0,NA,13,3,9,NA
"exp3",11,3,1,2,13,3.66,9,1
"exp3",11,3,2,2,13,4.2,9,1
"exp3",11,3,3,0,13,4.2,9,0
"exp3",11,4,0,NA,13.5,5,8,NA
"exp3",11,4,1,4,13.5,5.8,8,1
"exp3",11,4,2,0,13.5,5.8,8,0
"exp3",11,4,3,0,13.5,5.8,8,0
"exp3",11,5,0,NA,12,2,8,NA
"exp3",11,5,1,2,12,3,8,1
"exp3",11,5,2,2,12,3.66,8,1
"exp3",11,5,3,2,12,4.2,8,1
"exp3",11,6,0,NA,12.5,3,8,NA
"exp3",11,6,1,2,12.5,3.66,8,1
"exp3",11,6,2,2,12.5,4.2,8,1
"exp3",11,6,3,2,12.5,4.67,8,1
"exp3",11,7,0,NA,13.5,3,9,NA
"exp3",11,7,1,2,13.5,3.66,9,1
"exp3",11,7,2,2,13.5,4.2,9,1
"exp3",11,7,3,2,13.5,4.67,9,1
"exp3",11,8,0,NA,15,5,8,NA
"exp3",11,8,1,4,15,5.8,8,1
"exp3",11,8,2,4,15,6.48,8,1
"exp3",11,8,3,4,15,7.09,8,1
"exp3",12,1,0,NA,11,2,8,NA
"exp3",12,1,1,2,11,3,8,1
"exp3",12,1,2,0,11,3,8,0
"exp3",12,1,3,0,11,3,8,0
"exp3",12,2,0,NA,12,3,8,NA
"exp3",12,2,1,8,12,3,9,2
"exp3",12,2,2,0,12,3,9,0
"exp3",12,2,3,0,12,3,9,0
"exp3",12,3,0,NA,13,3,9,NA
"exp3",12,3,1,2,13,3.66,9,1
"exp3",12,3,2,2,13,4.2,9,1
"exp3",12,3,3,0,13,4.2,9,0
"exp3",12,4,0,NA,13.5,5,8,NA
"exp3",12,4,1,4,13.5,5.8,8,1
"exp3",12,4,2,0,13.5,5.8,8,0
"exp3",12,4,3,0,13.5,5.8,8,0
"exp3",12,5,0,NA,12,2,8,NA
"exp3",12,5,1,8,12,2,9,2
"exp3",12,5,2,2,12,3,9,1
"exp3",12,5,3,0,12,3,9,0
"exp3",12,6,0,NA,12.5,3,8,NA
"exp3",12,6,1,8,12.5,3,9,2
"exp3",12,6,2,2,12.5,3.66,9,1
"exp3",12,6,3,0,12.5,3.66,9,0
"exp3",12,7,0,NA,13.5,3,9,NA
"exp3",12,7,1,2,13.5,3.66,9,1
"exp3",12,7,2,2,13.5,4.2,9,1
"exp3",12,7,3,4,13.5,5.15,9,1
"exp3",12,8,0,NA,15,5,8,NA
"exp3",12,8,1,6,15,5,8,1
"exp3",12,8,2,8,15,5,9,2
"exp3",12,8,3,0,15,5,9,0
"exp3",13,1,0,NA,11,2,8,NA
"exp3",13,1,1,2,11,3,8,1
"exp3",13,1,2,0,11,3,8,0
"exp3",13,1,3,0,11,3,8,0
"exp3",13,2,0,NA,12,3,8,NA
"exp3",13,2,1,2,12,3.66,8,1
"exp3",13,2,2,2,12,4.2,8,1
"exp3",13,2,3,0,12,4.2,8,0
"exp3",13,3,0,NA,13,3,9,NA
"exp3",13,3,1,2,13,3.66,9,1
"exp3",13,3,2,2,13,4.2,9,1
"exp3",13,3,3,0,13,4.2,9,0
"exp3",13,4,0,NA,13.5,5,8,NA
"exp3",13,4,1,4,13.5,5.8,8,1
"exp3",13,4,2,0,13.5,5.8,8,0
"exp3",13,4,3,0,13.5,5.8,8,0
"exp3",13,5,0,NA,12,2,8,NA
"exp3",13,5,1,2,12,3,8,1
"exp3",13,5,2,2,12,3.66,8,1
"exp3",13,5,3,2,12,4.2,8,1
"exp3",13,6,0,NA,12.5,3,8,NA
"exp3",13,6,1,2,12.5,3.66,8,1
"exp3",13,6,2,2,12.5,4.2,8,1
"exp3",13,6,3,2,12.5,4.67,8,1
"exp3",13,7,0,NA,13.5,3,9,NA
"exp3",13,7,1,2,13.5,3.66,9,1
"exp3",13,7,2,2,13.5,4.2,9,1
"exp3",13,7,3,2,13.5,4.67,9,1
"exp3",13,8,0,NA,15,5,8,NA
"exp3",13,8,1,4,15,5.8,8,1
"exp3",13,8,2,4,15,6.48,8,1
"exp3",13,8,3,4,15,7.09,8,1
"exp3",14,1,0,NA,11,2,8,NA
"exp3",14,1,1,2,11,3,8,1
"exp3",14,1,2,0,11,3,8,0
"exp3",14,1,3,0,11,3,8,0
"exp3",14,2,0,NA,12,3,8,NA
"exp3",14,2,1,8,12,3,9,2
"exp3",14,2,2,0,12,3,9,0
"exp3",14,2,3,0,12,3,9,0
"exp3",14,3,0,NA,13,3,9,NA
"exp3",14,3,1,2,13,3.66,9,1
"exp3",14,3,2,2,13,4.2,9,1
"exp3",14,3,3,0,13,4.2,9,0
"exp3",14,4,0,NA,13.5,5,8,NA
"exp3",14,4,1,4,13.5,5.8,8,1
"exp3",14,4,2,0,13.5,5.8,8,0
"exp3",14,4,3,0,13.5,5.8,8,0
"exp3",14,5,0,NA,12,2,8,NA
"exp3",14,5,1,8,12,2,9,2
"exp3",14,5,2,2,12,3,9,1
"exp3",14,5,3,0,12,3,9,0
"exp3",14,6,0,NA,12.5,3,8,NA
"exp3",14,6,1,2,12.5,3.66,8,1
"exp3",14,6,2,2,12.5,4.2,8,1
