"expIndex","subject","scenario","round","weight_selected","target","weak_strength","strong_strength","agent_selected"
"exp1",12,1,2,0,11,2,9,0
"exp1",12,1,3,0,11,2,9,0
"exp1",12,2,0,NA,12,3,8,NA
"exp1",12,2,1,2,12,3.66,8,1
"exp1",12,2,2,2,12,4.2,8,1
"exp1",12,2,3,0,12,4.2,8,0
"exp1",12,3,0,NA,13,3,9,NA
"exp1",12,3,1,2,13,3.66,9,1
"exp1",12,3,2,2,13,4.2,9,1
"exp1",12,3,3,0,13,4.2,9,0
"exp1",12,4,0,NA,13.5,5,8,NA
"exp1",12,4,1,4,13.5,5.8,8,1
"exp1",12,4,2,0,13.5,5.8,8,0
"exp1",12,4,3,0,13.5,5.8,8,0
"exp1",13,1,0,NA,11,2,8,NA
"exp1",13,1,1,6,11,2,8.75,2
"exp1",13,1,2,4,11,2,9.2,2
"exp1",13,1,3,8,11,2,9.2,1
"exp1",13,2,0,NA,12,3,8,NA
"exp1",13,2,1,2,12,3,8.25,2
"exp1",13,2,2,2,12,3,8.49,2
"exp1",13,2,3,6,12,3,9.19,2
"exp1",13,3,0,NA,13,3,9,NA
"exp1",13,3,1,6,13,3,9,1
"exp1",13,3,2,4,13,3,9,0
"exp1",13,3,3,2,13,3,9.22,2
"exp1",13,4,0,NA,13.5,5,8,NA
"exp1",13,4,1,8,13.5,5,9,2
"exp1",13,4,2,2,13.5,5,9,0
"exp1",13,4,3,2,13.5,5,9.22,2
"exp1",14,1,0,NA,11,2,8,NA
"exp1",14,1,1,6,11,2,8,1
"exp1",14,1,2,4,11,2,8,1
"exp1",14,1,3,2,11,2,8.25,2
"exp1",14,2,0,NA,12,3,8,NA
"exp1",14,2,1,2,12,3.66,8,1
"exp1",14,2,2,2,12,3.66,8.25,2
"exp1",14,2,3,2,12,4.2,8.25,1
"exp1",14,3,0,NA,13,3,9,NA
"exp1",14,3,1,2,13,3,9.22,2
"exp1",14,3,2,2,13,3.66,9.22,1
"exp1",14,3,3,2,13,4.2,9.22,1
