"expIndex","subject","target","round","weak_strength","strong_strength","agent_selected","weight_selected","scenario","team"
"exp2-2",17,50,2,3,8.75,2,6,2,"<2,8>"
"exp2-2",17,50,3,3,9.2,2,4,2,"<2,8>"
"exp2-2",17,61,0,2,8,NA,NA,3,"<2,8>"
"exp2-2",17,61,1,2,8,1,4,3,"<2,8>"
"exp2-2",17,61,2,2,8.75,2,6,3,"<2,8>"
"exp2-2",17,61,3,2,8.75,1,8,3,"<2,8>"
"exp2-2",18,24,0,2,20,NA,NA,1,"<2,20>"
"exp2-2",18,24,1,3,20,1,2,1,"<2,20>"
"exp2-2",18,24,2,3.66,20,1,2,1,"<2,20>"
"exp2-2",18,24,3,4.2,20,1,2,1,"<2,20>"
"exp2-2",18,50,0,8,40,NA,NA,2,"<8,40>"
"exp2-2",18,50,1,9,40,1,8,2,"<8,40>"
"exp2-2",18,50,2,9.88,40,1,8,2,"<8,40>"
"exp2-2",18,50,3,10.68,40,1,8,2,"<8,40>"
"exp2-2",18,61,0,20,40,NA,NA,3,"<20,40>"
"exp2-2",18,61,1,20.4,40,1,8,3,"<20,40>"
"exp2-2",18,61,2,20.79,40,1,8,3,"<20,40>"
"exp2-2",18,61,3,21.17,40,1,8,3,"<20,40>"
"exp2-2",19,24,0,8,20,NA,NA,1,"<8,20>"
"exp2-2",19,24,1,8,20,0,0,1,"<8,20>"
"exp2-2",19,24,2,8,20,0,0,1,"<8,20>"
"exp2-2",19,24,3,8,20,0,0,1,"<8,20>"
"exp2-2",19,50,0,20,40,NA,NA,2,"<20,40>"
"exp2-2",19,50,1,20,40,0,0,2,"<20,40>"
"exp2-2",19,50,2,20,40,0,0,2,"<20,40>"
"exp2-2",19,50,3,20,40,0,0,2,"<20,40>"
"exp2-2",19,61,0,20,40,NA,NA,3,"<20,40>"
"exp2-2",19,61,1,20.4,40,1,8,3,"<20,40>"
"exp2-2",19,61,2,20.79,40,1,8,3,"<20,40>"
"exp2-2",19,61,3,21.17,40,1,8,3,"<20,40>"
"exp2-2",20,24,0,2,20,NA,NA,1,"<2,20>"
"exp2-2",20,24,1,3,20,1,2,1,"<2,20>"
"exp2-2",20,24,2,3.66,20,1,2,1,"<2,20>"
"exp2-2",20,24,3,4.2,20,1,2,1,"<2,20>"
"exp2-2",20,50,0,8,40,NA,NA,2,"<8,40>"
"exp2-2",20,50,1,9,40,1,8,2,"<8,40>"
"exp2-2",20,50,2,9.88,40,1,8,2,"<8,40>"
"exp2-2",20,50,3,10.68,40,1,8,2,"<8,40>"
"exp2-2",20,61,0,20,40,NA,NA,3,"<20,40>"
"exp2-2",20,61,1,20.4,40,1,8,3,"<20,40>"
"exp2-2",20,61,2,20.79,40,1,8,3,"<20,40>"
"exp2-2",20,61,3,21.17,40,1,8,3,"<20,40>"
"exp2-2",21,24,0,2,8,NA,NA,1,"<2,8>"
"exp2-2",21,24,1,2,8,1,4,1,"<2,8>"
"exp2-2",21,24,2,2,8.75,2,6,1,"<2,8>"
"exp2-2",21,24,3,3,8.75,1,2,1,"<2,8>"
"exp2-2",21,50,0,8,40,NA,NA,2,"<8,40>"
"exp2-2",21,50,1,8.25,40,1,2,2,"<8,40>"
"exp2-2",21,50,2,8.97,40,1,6,2,"<8,40>"
"exp2-2",21,50,3,9.63,40,1,6,2,"<8,40>"
"exp2-2",21,61,0,20,40,NA,NA,3,"<20,40>"
"exp2-2",21,61,1,20.2,40,1,4,3,"<20,40>"
"exp2-2",21,61,2,20.49,40,1,6,3,"<20,40>"
"exp2-2",21,61,3,20.49,40.15,2,6,3,"<20,40>"
"exp2-2",22,24,0,2,20,NA,NA,1,"<2,20>"
"exp2-2",22,24,1,3,20,1,2,1,"<2,20>"
"exp2-2",22,24,2,3.66,20,1,2,1,"<2,20>"
"exp2-2",22,24,3,4.2,20,1,2,1,"<2,20>"
"exp2-2",22,50,0,20,40,NA,NA,2,"<20,40>"
"exp2-2",22,50,1,20,40,0,0,2,"<20,40>"
"exp2-2",22,50,2,20,40,0,0,2,"<20,40>"
"exp2-2",22,50,3,20,40,0,0,2,"<20,40>"
"exp2-2",22,61,0,20,40,NA,NA,3,"<20,40>"
"exp2-2",22,61,1,20.4,40,1,8,3,"<20,40>"
"exp2-2",22,61,2,20.79,40,1,8,3,"<20,40>"
"exp2-2",22,61,3,21.17,40,1,8,3,"<20,40>"
"exp2-2",23,24,0,8,20,NA,NA,1,"<8,20>"
"exp2-2",23,24,1,9,20,1,8,1,"<8,20>"
"exp2-2",23,24,2,9.88,20,1,8,1,"<8,20>"
"exp2-2",23,24,3,9.88,20.4,2,8,1,"<8,20>"
"exp2-2",23,50,0,20,40,NA,NA,2,"<20,40>"
"exp2-2",23,50,1,20,40.2,2,8,2,"<20,40>"
"exp2-2",23,50,2,20.4,40.2,1,8,2,"<20,40>"
"exp2-2",23,50,3,20.4,40.39,2,8,2,"<20,40>"
"exp2-2",23,61,0,20,40,NA,NA,3,"<20,40>"
"exp2-2",23,61,1,20,40.2,2,8,3,"<20,40>"
"exp2-2",23,61,2,20.4,40.2,1,8,3,"<20,40>"
"exp2-2",23,61,3,20.79,40.2,1,8,3,"<20,40>"
"exp2-2",24,24,0,8,20,NA,NA,1,"<8,20>"
"exp2-2",24,24,1,8,20,0,2,1,"<8,20>"
"exp2-2",24,24,2,8.25,20,1,2,1,"<8,20>"
"exp2-2",24,24,3,8.25,20.2,2,4,1,"<8,20>"
"exp2-2",24,50,0,2,8,NA,NA,2,"<2,8>"
"exp2-2",24,50,1,3,8,1,2,2,"<2,8>"
"exp2-2",24,50,2,3,8.5,2,4,2,"<2,8>"
"exp2-2",24,50,3,3,8.5,1,4,2,"<2,8>"
"exp2-2",24,61,0,20,40,NA,NA,3,"<20,40>"
"exp2-2",24,61,1,20.3,40,1,6,3,"<20,40>"
