"expIndex","subject","target","round","weak_math","strong_math","agent_selected","pset_selected","scenario","team"
"exp4",18,61,2,3,40,0,0,3,"<2,40>"
"exp4",18,61,3,3,40,0,0,3,"<2,40>"
"exp4",19,24,0,2,8,NA,NA,1,"<2,8>"
"exp4",19,24,1,2,9,2,8,1,"<2,8>"
"exp4",19,24,2,3,9,1,2,1,"<2,8>"
"exp4",19,24,3,3.66,9,1,2,1,"<2,8>"
"exp4",19,50,0,8,40,NA,NA,2,"<8,40>"
"exp4",19,50,1,9,40,1,8,2,"<8,40>"
"exp4",19,50,2,9.88,40,1,8,2,"<8,40>"
"exp4",19,50,3,10.68,40,1,8,2,"<8,40>"
"exp4",19,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",19,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",19,61,2,20.79,40,1,8,3,"<20,40>"
"exp4",19,61,3,21.17,40,1,8,3,"<20,40>"
"exp4",20,24,0,2,20,NA,NA,1,"<2,20>"
"exp4",20,24,1,3,20,1,2,1,"<2,20>"
"exp4",20,24,2,3.66,20,1,2,1,"<2,20>"
"exp4",20,24,3,4.2,20,1,2,1,"<2,20>"
"exp4",20,50,0,8,40,NA,NA,2,"<8,40>"
"exp4",20,50,1,9,40,1,8,2,"<8,40>"
"exp4",20,50,2,9.88,40,1,8,2,"<8,40>"
"exp4",20,50,3,10.68,40,1,8,2,"<8,40>"
"exp4",20,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",20,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",20,61,2,20.79,40,1,8,3,"<20,40>"
"exp4",20,61,3,21.17,40,1,8,3,"<20,40>"
"exp4",21,24,0,2,20,NA,NA,1,"<2,20>"
"exp4",21,24,1,3,20,1,2,1,"<2,20>"
"exp4",21,24,2,3.66,20,1,2,1,"<2,20>"
"exp4",21,24,3,4.2,20,1,2,1,"<2,20>"
"exp4",21,50,0,8,40,NA,NA,2,"<8,40>"
"exp4",21,50,1,9,40,1,8,2,"<8,40>"
"exp4",21,50,2,9.88,40,1,8,2,"<8,40>"
"exp4",21,50,3,10.68,40,1,8,2,"<8,40>"
